index,datetime,service,instance,message,level,anomaly_type,st_time,ed_time,duration,data_type,old_index
0,2021-07-01,webservice,webservice2,"2021-07-01 11:16:52,953 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 11:06:52.249428 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-01 11:06:52.953000,2021-07-01 11:16:52.953000,600,train,5
3867,2021-07-09,redisservice,redisservice2,"2021-07-09 08:28:40,393 | WARNING | 0.0.0.2 | 172.17.0.4 | redisservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-09 08:18:38.408888 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-09 08:18:40.393000,2021-07-09 08:28:40.393000,600,test,3729
3875,2021-07-09,webservice,webservice1,"2021-07-09 08:55:24,304 | WARNING | 0.0.0.1 | 172.17.0.3 | webservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-09 08:45:21.958535 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-09 08:45:24.304000,2021-07-09 08:55:24.304000,600,test,3726
3967,2021-07-09,redisservice,redisservice2,"2021-07-09 15:42:47,677 | WARNING | 0.0.0.2 | 172.17.0.4 | redisservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-09 15:32:46.092873 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-09 15:32:47.677000,2021-07-09 15:42:47.677000,600,test,3730
3986,2021-07-09,dbservice,dbservice1,"2021-07-09 16:43:48,799 | WARNING | 0.0.0.4 | 172.17.0.3 | dbservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-09 16:33:48.098845 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-09 16:33:48.799000,2021-07-09 16:43:48.799000,600,test,3718
4013,2021-07-09,logservice,logservice1,"2021-07-09 18:30:15,060 | WARNING | 0.0.0.3 | 172.17.0.3 | logservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-09 18:20:12.351638 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-09 18:20:15.060000,2021-07-09 18:30:15.060000,600,test,4091
4017,2021-07-09,webservice,webservice2,"2021-07-09 18:54:02,179 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-09 18:44:00.099653 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-09 18:44:02.179000,2021-07-09 18:54:02.179000,600,test,3725
4031,2021-07-09,webservice,webservice1,"2021-07-09 20:01:58,829 | WARNING | 0.0.0.1 | 172.17.0.3 | webservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-09 19:51:56.402529 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-09 19:51:58.829000,2021-07-09 20:01:58.829000,600,test,3727
4040,2021-07-09,dbservice,dbservice1,"2021-07-09 20:50:41,915 | WARNING | 0.0.0.4 | 172.17.0.3 | dbservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-09 20:40:41.202905 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-09 20:40:41.915000,2021-07-09 20:50:41.915000,600,test,3719
4053,2021-07-09,dbservice,dbservice1,"2021-07-09 21:45:58,722 | WARNING | 0.0.0.4 | 172.17.0.3 | dbservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-09 21:35:58.026761 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-09 21:35:58.722000,2021-07-09 21:45:58.722000,600,test,3720
4070,2021-07-09,dbservice,dbservice1,"2021-07-09 22:43:44,478 | WARNING | 0.0.0.4 | 172.17.0.3 | dbservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-09 22:33:43.813389 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-09 22:33:44.478000,2021-07-09 22:43:44.478000,600,test,3721
4086,2021-07-09,logservice,logservice1,"2021-07-09 23:42:11,859 | WARNING | 0.0.0.3 | 172.17.0.3 | logservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-09 23:32:09.559676 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-09 23:32:11.859000,2021-07-09 23:42:11.859000,600,test,4092
4089,2021-07-09,redisservice,redisservice2,"2021-07-09 23:54:13,177 | WARNING | 0.0.0.2 | 172.17.0.4 | redisservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-09 23:44:11.476914 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-09 23:44:13.177000,2021-07-09 23:54:13.177000,600,test,3731
4121,2021-07-10,logservice,logservice2,"2021-07-10 01:23:10,333 | WARNING | 0.0.0.2 | 172.17.0.3 | logservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-10 01:13:08.756949 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-10 01:13:10.333000,2021-07-10 01:23:10.333000,600,test,4525
4123,2021-07-10,webservice,webservice1,"2021-07-10 01:40:57,809 | WARNING | 0.0.0.1 | 172.17.0.3 | webservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-10 01:30:55.326528 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-10 01:30:57.809000,2021-07-10 01:40:57.809000,600,test,4101
4130,2021-07-10,redisservice,redisservice2,"2021-07-10 02:07:19,346 | WARNING | 0.0.0.2 | 172.17.0.4 | redisservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-10 01:57:18.376971 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-10 01:57:19.346000,2021-07-10 02:07:19.346000,600,test,4520
4132,2021-07-10,redisservice,redisservice1,"2021-07-10 02:08:54,623 | WARNING | 0.0.0.1 | 172.17.0.4 | redisservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-10 01:58:52.778520 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-10 01:58:54.623000,2021-07-10 02:08:54.623000,600,test,4106
4157,2021-07-10,redisservice,redisservice1,"2021-07-10 03:01:16,899 | WARNING | 0.0.0.1 | 172.17.0.4 | redisservice1 | [normal memory freed label] lasts ten minutes",WARNING,[normal memory freed label],2021-07-10 03:01:16.899000,2021-07-10 03:11:16.899000,600,test,4107
4176,2021-07-10,webservice,webservice1,"2021-07-10 04:10:01,067 | WARNING | 0.0.0.1 | 172.17.0.3 | webservice1 | trigger the file moving program, start with 2021-07-10 04:00:00.967689, last for 600 seconds",WARNING,[file moving program],2021-07-10 04:00:01.067000,2021-07-10 04:10:01.067000,600,test,4102
4178,2021-07-10,webservice,webservice2,"2021-07-10 04:15:58,766 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-10 04:05:56.975590 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-10 04:05:58.766000,2021-07-10 04:15:58.766000,600,test,4099
4200,2021-07-10,logservice,logservice1,"2021-07-10 05:27:43,563 | WARNING | 0.0.0.3 | 172.17.0.3 | logservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-10 05:17:41.459595 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-10 05:17:43.563000,2021-07-10 05:27:43.563000,600,test,4522
4207,2021-07-10,webservice,webservice2,"2021-07-10 05:58:23,836 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-10 05:48:21.963586 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-10 05:48:23.836000,2021-07-10 05:58:23.836000,600,test,4100
4246,2021-07-10,webservice,webservice1,"2021-07-10 07:54:23,124 | WARNING | 0.0.0.1 | 172.17.0.3 | webservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-10 07:44:20.406521 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-10 07:44:23.124000,2021-07-10 07:54:23.124000,600,test,4103
4271,2021-07-10,dbservice,dbservice1,"2021-07-10 09:23:53,943 | WARNING | 0.0.0.4 | 172.17.0.3 | dbservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-10 09:13:53.259806 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-10 09:13:53.943000,2021-07-10 09:23:53.943000,600,test,4095
4290,2021-07-10,dbservice,dbservice1,"2021-07-10 10:47:12,620 | WARNING | 0.0.0.4 | 172.17.0.3 | dbservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-10 10:37:12.014842 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-10 10:37:12.620000,2021-07-10 10:47:12.620000,600,test,4096
4337,2021-07-10,logservice,logservice2,"2021-07-10 13:38:16,541 | WARNING | 0.0.0.2 | 172.17.0.3 | logservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-10 13:28:14.632876 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-10 13:28:16.541000,2021-07-10 13:38:16.541000,600,test,4526
4374,2021-07-10,webservice,webservice1,"2021-07-10 16:10:00,835 | WARNING | 0.0.0.1 | 172.17.0.3 | webservice1 | trigger the file moving program, start with 2021-07-10 16:00:00.737905, last for 600 seconds",WARNING,[file moving program],2021-07-10 16:00:00.835000,2021-07-10 16:10:00.835000,600,test,4104
4398,2021-07-10,logservice,logservice1,"2021-07-10 17:05:56,686 | WARNING | 0.0.0.3 | 172.17.0.3 | logservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-10 16:55:55.679583 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-10 16:55:56.686000,2021-07-10 17:05:56.686000,600,test,4523
4438,2021-07-10,redisservice,redisservice1,"2021-07-10 18:43:55,654 | WARNING | 0.0.0.1 | 172.17.0.4 | redisservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-10 18:33:53.222529 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-10 18:33:55.654000,2021-07-10 18:43:55.654000,600,test,4108
4446,2021-07-10,dbservice,dbservice2,"2021-07-10 19:18:46,152 | WARNING | 0.0.0.2 | 172.17.0.2 | dbservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-10 19:08:45.264892 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-10 19:08:46.152000,2021-07-10 19:18:46.152000,600,test,4097
4473,2021-07-10,logservice,logservice1,"2021-07-10 20:52:47,071 | WARNING | 0.0.0.3 | 172.17.0.3 | logservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-10 20:42:45.983631 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-10 20:42:47.071000,2021-07-10 20:52:47.071000,600,test,4524
4484,2021-07-10,dbservice,dbservice2,"2021-07-10 21:40:37,121 | WARNING | 0.0.0.2 | 172.17.0.2 | dbservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-10 21:30:36.252898 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-10 21:30:37.121000,2021-07-10 21:40:37.121000,600,test,4098
4490,2021-07-10,redisservice,redisservice2,"2021-07-10 21:59:39,213 | WARNING | 0.0.0.2 | 172.17.0.4 | redisservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-10 21:49:38.344948 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-10 21:49:39.213000,2021-07-10 21:59:39.213000,600,test,4521
4505,2021-07-10,webservice,webservice1,"2021-07-10 22:47:59,740 | WARNING | 0.0.0.1 | 172.17.0.3 | webservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-10 22:37:57.622522 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-10 22:37:59.740000,2021-07-10 22:47:59.740000,600,test,4105
4539,2021-07-11,dbservice,dbservice1,"2021-07-11 00:45:02,484 | WARNING | 0.0.0.4 | 172.17.0.3 | dbservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-11 00:34:55.802692 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-11 00:35:02.484000,2021-07-11 00:45:02.484000,600,test,4527
4553,2021-07-11,logservice,logservice1,"2021-07-11 01:31:01,551 | WARNING | 0.0.0.3 | 172.17.0.3 | logservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-11 01:21:00.575587 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-11 01:21:01.551000,2021-07-11 01:31:01.551000,600,test,5035
4637,2021-07-11,dbservice,dbservice2,"2021-07-11 05:35:39,845 | WARNING | 0.0.0.2 | 172.17.0.2 | dbservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-11 05:25:38.760895 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-11 05:25:39.845000,2021-07-11 05:35:39.845000,600,test,4533
4654,2021-07-11,redisservice,redisservice2,"2021-07-11 06:32:52,080 | WARNING | 0.0.0.2 | 172.17.0.4 | redisservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-11 06:22:51.112941 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-11 06:22:52.080000,2021-07-11 06:32:52.080000,600,test,5034
4680,2021-07-11,dbservice,dbservice2,"2021-07-11 07:31:56,833 | WARNING | 0.0.0.2 | 172.17.0.2 | dbservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-11 07:21:56.044902 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-11 07:21:56.833000,2021-07-11 07:31:56.833000,600,test,4534
4692,2021-07-11,webservice,webservice1,"2021-07-11 08:23:28,374 | WARNING | 0.0.0.1 | 172.17.0.3 | webservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-11 08:13:25.638523 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-11 08:13:28.374000,2021-07-11 08:23:28.374000,600,test,4536
4745,2021-07-11,webservice,webservice2,"2021-07-11 11:34:02,678 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-11 11:24:01.759595 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-11 11:24:02.678000,2021-07-11 11:34:02.678000,600,test,4529
4772,2021-07-11,webservice,webservice2,"2021-07-11 12:44:06,622 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-11 12:34:05.783588 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-11 12:34:06.622000,2021-07-11 12:44:06.622000,600,test,4530
4807,2021-07-11,logservice,logservice2,"2021-07-11 14:32:09,049 | WARNING | 0.0.0.2 | 172.17.0.3 | logservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-11 14:22:08.140857 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-11 14:22:09.049000,2021-07-11 14:32:09.049000,600,test,5038
4814,2021-07-11,redisservice,redisservice1,"2021-07-11 14:49:12,548 | WARNING | 0.0.0.1 | 172.17.0.4 | redisservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-11 14:39:11.618549 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-11 14:39:12.548000,2021-07-11 14:49:12.548000,600,test,5033
4847,2021-07-11,webservice,webservice2,"2021-07-11 15:48:41,689 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-11 15:38:40.891596 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-11 15:38:41.689000,2021-07-11 15:48:41.689000,600,test,4531
4848,2021-07-11,logservice,logservice1,"2021-07-11 15:56:33,380 | WARNING | 0.0.0.3 | 172.17.0.3 | logservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-11 15:46:31.951609 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-11 15:46:33.380000,2021-07-11 15:56:33.380000,600,test,5036
4912,2021-07-11,webservice,webservice2,"2021-07-11 19:12:20,989 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-11 19:02:19.999590 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-11 19:02:20.989000,2021-07-11 19:12:20.989000,600,test,4532
4924,2021-07-11,dbservice,dbservice1,"2021-07-11 19:37:18,929 | WARNING | 0.0.0.4 | 172.17.0.3 | dbservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-11 19:27:18.254847 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-11 19:27:18.929000,2021-07-11 19:37:18.929000,600,test,4528
5006,2021-07-11,logservice,logservice1,"2021-07-11 22:37:43,176 | WARNING | 0.0.0.3 | 172.17.0.3 | logservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-11 22:27:41.987599 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-11 22:27:43.176000,2021-07-11 22:37:43.176000,600,test,5037
5009,2021-07-11,dbservice,dbservice2,"2021-07-11 22:43:59,787 | WARNING | 0.0.0.2 | 172.17.0.2 | dbservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-11 22:33:58.952865 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-11 22:33:59.787000,2021-07-11 22:43:59.787000,600,test,4535
5038,2021-07-12,redisservice,redisservice2,"2021-07-12 00:02:44,443 | WARNING | 0.0.0.2 | 172.17.0.4 | redisservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-11 23:52:43.532940 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-11 23:52:44.443000,2021-07-12 00:02:44.443000,600,test,5301
5048,2021-07-12,logservice,logservice2,"2021-07-12 00:39:47,021 | WARNING | 0.0.0.2 | 172.17.0.3 | logservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-12 00:29:45.784881 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-12 00:29:47.021000,2021-07-12 00:39:47.021000,600,test,5530
5065,2021-07-12,webservice,webservice2,"2021-07-12 01:22:58,425 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-12 01:12:57.555589 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-12 01:12:58.425000,2021-07-12 01:22:58.425000,600,test,5045
5067,2021-07-12,dbservice,dbservice2,"2021-07-12 01:33:01,840 | WARNING | 0.0.0.2 | 172.17.0.2 | dbservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-12 01:23:00.969684 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-12 01:23:01.840000,2021-07-12 01:33:01.840000,600,test,5040
5098,2021-07-12,webservice,webservice1,"2021-07-12 02:24:07,655 | WARNING | 0.0.0.1 | 172.17.0.3 | webservice1 | [normal memory freed label] lasts ten minutes",WARNING,[normal memory freed label],2021-07-12 02:24:07.655000,2021-07-12 02:34:07.655000,600,test,5048
5153,2021-07-12,dbservice,dbservice2,"2021-07-12 05:04:15,014 | WARNING | 0.0.0.2 | 172.17.0.2 | dbservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-12 04:54:14.140891 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-12 04:54:15.014000,2021-07-12 05:04:15.014000,600,test,5041
5170,2021-07-12,logservice,logservice1,"2021-07-12 06:03:36,022 | WARNING | 0.0.0.3 | 172.17.0.3 | logservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-12 05:53:34.975689 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-12 05:53:36.022000,2021-07-12 06:03:36.022000,600,test,5524
5197,2021-07-12,redisservice,redisservice2,"2021-07-12 07:18:08,057 | WARNING | 0.0.0.2 | 172.17.0.4 | redisservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-12 07:08:07.141000 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-12 07:08:08.057000,2021-07-12 07:18:08.057000,600,test,5302
5225,2021-07-12,logservice,logservice1,"2021-07-12 08:44:58,228 | WARNING | 0.0.0.3 | 172.17.0.3 | logservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-12 08:34:57.327588 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-12 08:34:58.228000,2021-07-12 08:44:58.228000,600,test,5525
5226,2021-07-12,webservice,webservice1,"2021-07-12 08:47:54,058 | WARNING | 0.0.0.1 | 172.17.0.3 | webservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-12 08:37:51.670532 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-12 08:37:54.058000,2021-07-12 08:47:54.058000,600,test,5049
5255,2021-07-12,logservice,logservice1,"2021-07-12 10:34:35,893 | WARNING | 0.0.0.3 | 172.17.0.3 | logservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-12 10:24:34.427569 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-12 10:24:35.893000,2021-07-12 10:34:35.893000,600,test,5526
5311,2021-07-12,dbservice,dbservice2,"2021-07-12 13:16:48,666 | WARNING | 0.0.0.2 | 172.17.0.2 | dbservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-12 13:06:47.888948 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-12 13:06:48.666000,2021-07-12 13:16:48.666000,600,test,5042
5315,2021-07-12,redisservice,redisservice2,"2021-07-12 13:29:13,418 | WARNING | 0.0.0.2 | 172.17.0.4 | redisservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-12 13:19:12.588908 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-12 13:19:13.418000,2021-07-12 13:29:13.418000,600,test,5303
5321,2021-07-12,webservice,webservice2,"2021-07-12 13:42:23,683 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-12 13:32:22.767640 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-12 13:32:23.683000,2021-07-12 13:42:23.683000,600,test,5046
5325,2021-07-12,logservice,logservice2,"2021-07-12 13:54:04,958 | WARNING | 0.0.0.2 | 172.17.0.3 | logservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-12 13:44:04.104938 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-12 13:44:04.958000,2021-07-12 13:54:04.958000,600,test,5531
5345,2021-07-12,logservice,logservice1,"2021-07-12 15:09:19,335 | WARNING | 0.0.0.3 | 172.17.0.3 | logservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-12 14:59:18.391583 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-12 14:59:19.335000,2021-07-12 15:09:19.335000,600,test,5527
5356,2021-07-12,webservice,webservice2,"2021-07-12 15:41:56,803 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-12 15:31:55.895600 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-12 15:31:56.803000,2021-07-12 15:41:56.803000,600,test,5047
5364,2021-07-12,logservice,logservice1,"2021-07-12 16:10:08,641 | WARNING | 0.0.0.3 | 172.17.0.3 | logservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-12 16:00:07.431581 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-12 16:00:08.641000,2021-07-12 16:10:08.641000,600,test,5528
5378,2021-07-12,logservice,logservice2,"2021-07-12 17:09:19,224 | WARNING | 0.0.0.2 | 172.17.0.3 | logservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-12 16:59:18.368854 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-12 16:59:19.224000,2021-07-12 17:09:19.224000,600,test,5532
5386,2021-07-12,webservice,webservice1,"2021-07-12 17:37:47,573 | WARNING | 0.0.0.1 | 172.17.0.3 | webservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-12 17:27:44.958521 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-12 17:27:47.573000,2021-07-12 17:37:47.573000,600,test,5050
5394,2021-07-12,dbservice,dbservice1,"2021-07-12 18:09:31,607 | WARNING | 0.0.0.4 | 172.17.0.3 | dbservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-12 17:59:30.703300 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-12 17:59:31.607000,2021-07-12 18:09:31.607000,600,test,5039
5466,2021-07-12,logservice,logservice1,"2021-07-12 21:30:07,063 | WARNING | 0.0.0.3 | 172.17.0.3 | logservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-12 21:20:06.139573 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-12 21:20:07.063000,2021-07-12 21:30:07.063000,600,test,5529
5479,2021-07-12,dbservice,dbservice2,"2021-07-12 21:59:44,209 | WARNING | 0.0.0.2 | 172.17.0.2 | dbservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-12 21:49:43.348986 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-12 21:49:44.209000,2021-07-12 21:59:44.209000,600,test,5043
5485,2021-07-12,redisservice,redisservice2,"2021-07-12 22:07:23,059 | WARNING | 0.0.0.2 | 172.17.0.4 | redisservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-12 21:57:22.132887 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-12 21:57:23.059000,2021-07-12 22:07:23.059000,600,test,5304
5505,2021-07-12,dbservice,dbservice2,"2021-07-12 22:54:34,165 | WARNING | 0.0.0.2 | 172.17.0.2 | dbservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-12 22:44:33.324883 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-12 22:44:34.165000,2021-07-12 22:54:34.165000,600,test,5044
5506,2021-07-12,redisservice,redisservice1,"2021-07-12 22:56:19,585 | WARNING | 0.0.0.1 | 172.17.0.4 | redisservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-12 22:46:18.710538 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-12 22:46:19.585000,2021-07-12 22:56:19.585000,600,test,5306
5520,2021-07-12,redisservice,redisservice2,"2021-07-12 23:19:11,006 | WARNING | 0.0.0.2 | 172.17.0.4 | redisservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-12 23:09:10.143234 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-12 23:09:11.006000,2021-07-12 23:19:11.006000,600,test,5305
5557,2021-07-13,logservice,logservice1,"2021-07-13 01:17:17,285 | WARNING | 0.0.0.3 | 172.17.0.3 | logservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-13 01:07:16.363580 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-13 01:07:17.285000,2021-07-13 01:17:17.285000,600,test,6066
5626,2021-07-13,webservice,webservice1,"2021-07-13 04:10:00,715 | WARNING | 0.0.0.1 | 172.17.0.3 | webservice1 | trigger the file moving program, start with 2021-07-13 04:00:00.616779, last for 600 seconds",WARNING,[file moving program],2021-07-13 04:00:00.715000,2021-07-13 04:10:00.715000,600,test,5540
